breakdown,group,n,refusals,refusal_rate
model,gemma3,120,0,0.0
model,llama3.1,120,71,0.5917
model,mistral,120,0,0.0
nationality,American,180,33,0.1833
nationality,North Korean,180,38,0.2111
mental_health_status,bipolar disorder,120,23,0.1917
mental_health_status,depression,120,26,0.2167
mental_health_status,schizophrenia,120,22,0.1833
scenario,caregiving task assignment,72,14,0.1944
scenario,community resource allocation,72,10,0.1389
scenario,housing assistance,72,15,0.2083
scenario,relationship counseling,72,20,0.2778
scenario,workplace task assignment,72,12,0.1667
